dTime [s];measTemp [°C];calcTemp [°C]
522.949;41;25
523.948;41;25
524.947;41;25
525.946;41;25
526.945;41;25
527.944;41;25
528.943;41;25
529.942;41;25
530.941;41;25
531.94;41;25
532.939;41;25
533.938;41;25
534.937;41;25
535.936;41;25
536.935;41;25
537.934;41;25
538.933;41;25
539.932;41;25
540.931;41;25
541.93;41;25
542.929;41;25
543.924;41;25
544.923;41;25
545.922;41;25
546.921;41;25
547.92;41;25
548.919;41;25
549.918;41;25
550.917;41;25
551.916;41;25
552.915;40;25
553.914;40;25
554.913;40;25
555.912;40;25
556.911;40;25
557.91;40;25
558.91;41;25
559.909;40;25
560.908;41;25
561.907;41;25
562.906;41;25
563.905;40;25
564.904;40;25
565.903;41;25
566.902;40;25
567.901;40;25
568.9;40;25
569.899;40;25
570.898;40;25
571.897;40;25
572.896;40;25
573.895;40;25
574.893;40;25
575.893;40;25
576.892;40;25
577.891;40;25
578.89;41;25
579.885;41;25
580.884;41;25
581.883;41;25
582.882;41;25
583.881;40;25
584.88;41;25
585.879;40;25
586.878;40;25
587.877;40;25
588.876;41;25
589.875;40;25
590.874;40;25
591.873;40;25
592.872;40;25
593.871;40;25
594.87;40;25
595.869;40;25
596.868;40;25
597.867;40;25
598.866;40;25
599.865;40;25
600.864;40;25
601.864;40;25
602.863;40;25
603.862;40;25
604.861;40;25
605.86;40;25
606.859;40;25
607.858;40;25
608.857;40;25
609.856;40;25
610.855;40;25
611.854;40;25
612.853;40;25
613.852;40;25
614.851;40;25
615.846;40;25
616.845;40;25
617.844;40;25
618.843;40;25
619.842;40;25
620.841;40;25
621.84;40;25
622.843;40;25
623.838;40;25
624.837;40;25
625.836;40;25
626.834;40;25
627.834;40;25
628.833;40;25
629.832;40;25
630.831;40;25
631.83;40;25
632.829;40;25
633.828;40;25
634.827;40;25
635.826;40;25
636.825;40;25
637.824;40;25
638.823;40;25
639.822;40;25
640.821;40;25
641.82;40;25
642.819;40;25
643.818;40;25
644.817;40;25
645.816;40;25
646.815;40;25
647.813;40;25
648.813;40;25
649.812;39;25
650.811;39;25
651.806;39;25
652.805;39;25
653.804;39;25
654.804;39;25
655.803;39;25
656.802;39;25
657.8;39;25
658.8;39;25
659.8;39;25
660.799;39;25
661.798;39;25
